timestamp,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_q_6,target_q_7,target_q_8,target_q_9
1738237950.5083911,0.1943291,-0.06446633,-0.0013195036,-0.050566077,0.14318734,-0.18089812,0.018481463,0.017997118,-0.53282744,-0.30336955
1738237950.5183723,0.1869286,-0.050500836,0.004642612,-0.063993946,0.059387483,-0.17250362,0.09819506,0.035047166,-0.4902723,-0.25759065
1738237950.529572,0.15609547,-0.03902732,-0.0048977006,-0.061326835,-0.030165926,-0.17311858,0.148519,0.071486,-0.41602337,-0.16554257
1738237950.5407245,0.11517073,-0.045024972,-0.021042613,-0.053397983,-0.07163332,-0.17037444,0.16739321,0.09178259,-0.32291985,-0.08547574
1738237950.5510516,0.08444262,-0.034836628,-0.026037848,-0.07074235,0.036433816,-0.1527287,0.18074447,0.109214745,-0.23534912,0.074987985
1738237950.5604444,0.06915125,-0.030806977,-0.030561417,-0.092198275,0.17039752,-0.1026484,0.15190786,0.08445427,-0.16669145,0.22770533
1738237950.571399,0.07586118,-0.011063871,-0.029238438,-0.081660256,0.22586611,-0.073886074,0.13960934,0.062972724,-0.13065265,0.2324644
1738237950.5814571,0.12763408,-0.0004891595,-0.046165403,-0.07528253,0.1789813,-0.018071268,0.05330802,0.0117298,-0.0900473,0.15337038
1738237950.5926342,0.16006222,0.020757422,-0.052898087,-0.088498436,0.06309706,0.01700113,0.025767263,-0.014749536,-0.059859835,0.09400449
1738237950.6036952,0.17102131,0.043525685,-0.04289227,-0.10537724,-0.06892969,0.043999005,0.0012562424,-0.04271385,-0.030532729,0.020315299
1738237950.6143177,0.18993364,0.059107397,-0.03795016,-0.1386933,-0.23250535,0.038488127,0.04574615,-0.03616669,-0.0006913133,-0.038204536
1738237950.6251214,0.18740432,0.008301568,-0.042829506,-0.18783826,-0.40403536,0.021228,0.08166275,-0.0111852195,0.027925026,-0.11162682
1738237950.6367023,0.18763761,-0.0026591811,-0.04024695,-0.24377969,-0.54713124,-0.0029878188,0.099207446,-0.02079824,0.05354741,-0.21035726
1738237950.646886,0.1748637,-0.02846178,-0.04194979,-0.29925394,-0.6276995,-0.025199395,0.1361242,-0.019817226,0.05800129,-0.2773414
1738237950.6571522,0.19529392,-0.01642419,-0.04168867,-0.36272636,-0.6714721,-0.034824613,0.17247932,-0.023496734,0.06686941,-0.3648921
1738237950.6680565,0.2026215,-0.04448498,-0.042837586,-0.42597425,-0.6754019,-0.04783413,0.13134432,-0.031276315,0.07504009,-0.39164844
1738237950.67805,0.21490644,-0.040201284,-0.042545643,-0.472111,-0.6569062,-0.054464925,0.104389936,-0.0445887,0.07940842,-0.42585903
1738237950.6881754,0.21822725,-0.053500127,-0.035931136,-0.4980766,-0.627407,-0.062692136,0.062954515,-0.04879663,0.08798431,-0.47607678
1738237950.6989076,0.21800666,-0.061444342,-0.028434701,-0.50007164,-0.57373786,-0.060302168,0.07064186,-0.040667623,0.08329111,-0.47156462
1738237950.7098794,0.21904206,-0.060807023,-0.017210187,-0.48167607,-0.53454643,-0.055062804,0.057598896,-0.03791047,0.07856566,-0.4888971
1738237950.7206998,0.20816594,-0.06410316,-0.015370643,-0.4341893,-0.4988699,-0.052769672,0.037446983,-0.050766423,0.08075617,-0.5110579
1738237950.7308505,0.19370188,-0.06671065,-0.010785032,-0.39021033,-0.41670015,-0.05677181,0.043772157,-0.044471227,0.08281964,-0.48582408
1738237950.7419007,0.18272744,-0.07132838,-0.01196474,-0.33042017,-0.30180347,-0.045359958,0.06100695,-0.03379701,0.07175204,-0.43465382
1738237950.7537544,0.17933737,-0.08044016,-0.016954845,-0.29512444,-0.1594639,-0.028930813,0.043200787,-0.029765615,0.05803371,-0.36687568
1738237950.7632105,0.16883945,-0.07047893,-0.021895025,-0.25661808,-0.008428685,-0.019977838,0.045394823,-0.0109871235,0.04809534,-0.3087182
1738237950.773687,0.15097365,-0.048409272,-0.02136645,-0.23551285,0.10729178,-0.016446758,0.059353046,0.011490218,0.040984068,-0.25743574
1738237950.7839887,0.13458097,-0.0539531,-0.032900605,-0.19905718,0.20905477,-0.0030363519,0.03742471,0.022813141,0.04531798,-0.16657616
1738237950.796114,0.112686075,-0.0627576,-0.047038812,-0.16647704,0.31461978,0.022578295,0.036976624,0.03790386,0.05275033,-0.029436067
1738237950.80569,0.07603653,-0.06066211,-0.05478024,-0.11039514,0.4012108,0.022930544,0.029452553,0.055786625,0.07945204,0.05507227
1738237950.81716,0.06649473,-0.08683142,-0.058435746,-0.029481601,0.43115848,-0.026322195,-0.009625718,0.06489675,0.03743172,0.099316075
1738237950.8268805,0.11419916,-0.13193011,-0.077480644,0.0019362643,0.4980396,-0.05187592,-0.05095301,0.05714211,-0.054794196,0.17684315
1738237950.8380651,0.115944296,-0.1411369,-0.09693612,-0.026988942,0.5522036,-0.09421132,-0.060144708,0.050201766,-0.14035892,0.12443088
1738237950.849687,0.1352393,-0.12782668,-0.083797306,-0.038062107,0.5761435,-0.11511036,-0.04285489,0.035146907,-0.198979,0.0074956175
1738237950.8588412,0.14160964,-0.10357238,-0.051244635,-0.039086513,0.56047463,-0.12553063,-0.050954565,0.0083039375,-0.2667281,-0.10003703
1738237950.869673,0.12439586,-0.13737552,-0.0488537,-0.051750723,0.50411105,-0.15236841,-0.08452793,-0.026544688,-0.354439,-0.17856528
1738237950.8813162,0.115365036,-0.12659486,-0.043485094,-0.06262756,0.50126636,-0.16975132,-0.07757976,-0.032815762,-0.42303836,-0.24220654
1738237950.8913858,0.13334675,-0.13354908,-0.03703606,-0.05597427,0.4964288,-0.19246313,-0.09641037,-0.034683555,-0.46347076,-0.2906302
1738237950.9025917,0.15821001,-0.08755201,-0.02323526,-0.04286103,0.43521714,-0.19841787,-0.08686618,-0.027017435,-0.5028157,-0.34649223
1738237950.912977,0.16721314,-0.10802773,-0.027903281,-0.03338012,0.33276397,-0.20717345,-0.09948092,-0.027270025,-0.53821146,-0.3721687
1738237950.9231644,0.16137114,-0.08344337,-0.01527111,-0.03973131,0.2978164,-0.21442786,-0.06607053,-0.015998911,-0.5428299,-0.37856868
1738237950.9330583,0.16321802,-0.06944895,0.0025210767,-0.03794025,0.24810764,-0.21852659,-0.00878875,0.009489826,-0.53640896,-0.36924803
1738237950.9433825,0.17450812,-0.06536521,-2.3220433e-05,-0.031536955,0.13517323,-0.20555119,0.056248218,0.027800255,-0.50160015,-0.33884498
1738237950.9544194,0.15477009,-0.0734108,-0.012115266,-0.02885519,0.048509434,-0.19780378,0.1164577,0.068798885,-0.44471684,-0.23775789
1738237950.9658597,0.13306473,-0.07861715,-0.022037031,-0.017291522,0.01667115,-0.19328585,0.14326015,0.10564766,-0.38158214,-0.121046215
1738237950.9771166,0.10327399,-0.067592725,-0.028492562,-0.035072464,0.08844923,-0.18237428,0.1711916,0.11720968,-0.31012613,0.0017270539
1738237950.9865606,0.07121285,-0.04686662,-0.029466018,-0.05035927,0.16591004,-0.14603433,0.17025004,0.101122715,-0.22957121,0.10454418
1738237950.9980197,0.056944482,-0.028479405,-0.029942771,-0.04571958,0.21907336,-0.10863975,0.15500909,0.086579405,-0.16344397,0.14952154
1738237951.0085094,0.07838314,-0.024020448,-0.04277261,-0.028775744,0.21110842,-0.062327094,0.10773021,0.04728332,-0.118802994,0.11598423
1738237951.0194714,0.11931593,-0.0059727724,-0.052118793,-0.044380702,0.15370756,-0.033795252,0.08991549,0.03121949,-0.08877374,0.07560476
1738237951.0297687,0.13946633,0.014458942,-0.049633168,-0.05865986,0.014744662,0.011297538,0.030452458,-0.008974189,-0.04422665,0.012617951
1738237951.0430667,0.16267124,0.05070767,-0.043885097,-0.098271534,-0.17140159,0.011501695,0.074962564,-0.0058357613,-0.01044666,-0.06098503
1738237951.0501983,0.1607614,0.007888182,-0.049672816,-0.1467071,-0.35449165,0.015507366,0.09090023,0.012023012,0.015362121,-0.065959334
1738237951.0629115,0.18148577,-0.014278479,-0.041422565,-0.211084,-0.5196352,0.01655,0.09470829,0.005100549,0.03998905,-0.11870487
1738237951.0720248,0.17653981,-0.013909342,-0.03470182,-0.26592314,-0.6051777,-0.022630911,0.16989343,0.038410276,0.033960234,-0.17546113
1738237951.0844326,0.18709257,0.018361736,-0.042383477,-0.32021442,-0.6891422,-0.040117405,0.180965,0.03694053,0.030289564,-0.22813402
1738237951.0929837,0.20495193,-0.02044285,-0.04426576,-0.37788212,-0.6983475,-0.04270932,0.16132417,0.032543108,0.026003364,-0.23152924
1738237951.1037996,0.23337267,-0.030202895,-0.03956522,-0.42150903,-0.6860607,-0.035516933,0.14723295,0.01723427,0.018936597,-0.23634182
1738237951.1137848,0.25725937,-0.039343633,-0.03483211,-0.44205955,-0.6515697,-0.03014424,0.09853619,0.0029605846,0.0184386,-0.24345072
1738237951.1263685,0.2722154,-0.051226504,-0.009973088,-0.45641014,-0.60427976,-0.023168974,0.0399514,-0.012288649,0.019056037,-0.2573837
1738237951.1360486,0.26910484,-0.04751692,-0.0039008923,-0.4551116,-0.5269734,-0.025169445,0.0049015544,-0.022928024,0.021581631,-0.26414695
1738237951.1470842,0.26783124,-0.06876516,0.001808347,-0.40710965,-0.4640379,-0.017129743,-0.05022525,-0.04262381,0.019845568,-0.2806014
1738237951.1583803,0.24987741,-0.069691665,0.0067566065,-0.3675384,-0.3511822,-0.025572145,-0.01238475,-0.028056609,0.0066769756,-0.26649526
1738237951.1684341,0.23897232,-0.059266813,0.008008549,-0.33685306,-0.19201615,-0.017241172,-0.057430975,-0.04150243,-0.0006489605,-0.26557338
1738237951.1803772,0.2088625,-0.06435182,-0.007140969,-0.30974767,-0.028594593,-0.02510657,-0.027452648,-0.027475772,-0.01091579,-0.24060449
1738237951.1908367,0.19567326,-0.053967334,-0.005238337,-0.2921629,0.20074958,-0.023501985,0.030752381,0.005286919,-0.029214293,-0.18361737
1738237951.1994758,0.1857159,-0.023167308,-0.02309655,-0.27035946,0.3176657,-0.010791692,0.04522655,0.01820216,-0.029232636,-0.15061547
1738237951.2111723,0.16669089,-0.028539404,-0.029038666,-0.24330963,0.4669789,-0.0066941483,0.08098296,0.05093223,-0.028537098,-0.061219804
1738237951.222429,0.15256044,-0.0117470175,-0.05208249,-0.2214864,0.5953541,0.021793284,0.05885882,0.05494088,-0.021439187,0.021914488
1738237951.2326102,0.1148248,-0.029418595,-0.05854289,-0.19277997,0.72552806,0.03078093,0.0450596,0.067916624,0.0047691166,0.10571852
1738237951.242768,0.11525202,-0.06233704,-0.07174383,-0.15832753,0.8192543,0.037860036,0.039582003,0.07779933,0.009563442,0.12623006
1738237951.2527664,0.12517709,-0.11735244,-0.08117255,-0.10625776,0.9298654,-0.0065320265,-0.016179278,0.065954305,-0.06254682,0.08918952
1738237951.264786,0.12898092,-0.1866889,-0.1165118,-0.11423673,1.014111,-0.046687197,-0.08384966,0.042123504,-0.1444028,-0.017947286
1738237951.2756538,0.13959801,-0.1988285,-0.12247707,-0.13070665,1.1067871,-0.04713288,-0.080226205,0.018064,-0.21315727,-0.12693723
1738237951.2862847,0.100035444,-0.17957368,-0.10863759,-0.1453763,1.1367086,-0.06600336,-0.051552102,-0.018672764,-0.27618703,-0.23880984
1738237951.296074,0.07338809,-0.17838006,-0.090685286,-0.14615175,1.1484079,-0.10562965,-0.08374084,-0.028084481,-0.3308622,-0.3003935
1738237951.3087244,0.061444886,-0.18422759,-0.084532455,-0.14961596,1.1698389,-0.12739603,-0.089227535,-0.038935073,-0.37831143,-0.3457433
1738237951.3170142,0.058315672,-0.1703145,-0.08164374,-0.13998939,1.0980395,-0.16572422,-0.07711557,-0.036166057,-0.42468685,-0.3915661
1738237951.3275528,0.07255562,-0.15881994,-0.058769275,-0.13547902,0.99664134,-0.20069852,-0.052724965,-0.031079216,-0.4622852,-0.389837
1738237951.337414,0.079851925,-0.11107537,-0.035573464,-0.13830224,0.9225786,-0.21690123,-0.032662243,-0.03741864,-0.49043092,-0.38091588
1738237951.349134,0.07792251,-0.11566219,-0.03522137,-0.14579847,0.84295386,-0.23789941,-0.056668006,-0.032626383,-0.4977238,-0.36333084
1738237951.359324,0.083519176,-0.10023732,-0.026527056,-0.15975192,0.7569873,-0.23028763,-0.0138431415,-0.026153108,-0.48931888,-0.3209645
1738237951.3712327,0.08339614,-0.11323274,-0.021810625,-0.17334278,0.69653255,-0.22130738,0.0059526786,-0.014333673,-0.45267594,-0.19691043
1738237951.3817403,0.08239554,-0.08162393,-0.0094018895,-0.17942944,0.68962914,-0.20096956,0.018807888,0.0043318924,-0.41189566,-0.09239695
1738237951.391908,0.08094905,-0.0725404,-0.011062035,-0.17748593,0.6901057,-0.18761134,0.03529763,0.028120263,-0.36765793,-0.0026545878
1738237951.403353,0.061326362,-0.04949251,-0.013982309,-0.17894913,0.70104396,-0.1644093,0.048247214,0.040463433,-0.3054884,0.11393961
1738237951.414545,0.01512431,-0.038325023,-0.009252472,-0.17475088,0.7245508,-0.14515227,0.05028586,0.037110895,-0.23843962,0.25940937
1738237951.425375,0.0089962445,0.03245626,-0.008480543,-0.1553718,0.76658136,-0.10898708,0.090540946,0.038636193,-0.18997012,0.3256515
1738237951.4353478,0.013953507,0.03912642,-0.02043498,-0.14462757,0.7100631,-0.06506774,0.0811329,0.029021945,-0.15096796,0.38814315
1738237951.4468958,0.019930147,0.037094705,-0.03171759,-0.1372456,0.6166776,-0.014633657,0.05567519,0.010068128,-0.11712669,0.4038052
1738237951.4573803,0.06345595,0.040446576,-0.03314075,-0.13400327,0.38925833,0.021611191,0.07949457,0.017646965,-0.0797236,0.36143258
1738237951.4686854,0.10730371,0.064217284,-0.037214924,-0.13300459,0.025041863,0.031206928,0.154024,0.04642383,-0.052799195,0.28181434
1738237951.4774694,0.13170788,0.00020696875,-0.0461944,-0.16727142,-0.38231456,0.029664148,0.2181423,0.06752316,-0.03188824,0.22839028
1738237951.4891746,0.12692723,-0.046253197,-0.04164875,-0.21798606,-0.6147411,0.037291322,0.23130107,0.040282458,0.0013403185,0.18433067
1738237951.49938,0.1169169,-0.014714422,-0.02995224,-0.2657311,-0.7488783,0.0023383414,0.34128764,0.07917306,-0.019333344,0.12198609
1738237951.511143,0.12585819,-0.056459125,-0.03890367,-0.31069237,-0.8275203,-0.0006274041,0.28773805,0.03826444,-0.006242849,0.058248445
1738237951.5202553,0.12474778,-0.062537074,-0.031005954,-0.3716175,-0.8393158,-0.018947426,0.27782953,0.03412613,-0.013576686,0.033252798
1738237951.5318763,0.1615794,-0.06040167,-0.029971048,-0.4154281,-0.80964845,-0.014613422,0.2457155,0.021544721,-0.016750637,-0.018216264
1738237951.5413973,0.1988442,-0.015835587,-0.015648473,-0.4637759,-0.79333055,-0.021000173,0.21948826,0.031051764,-0.014168853,-0.07687786
1738237951.5535862,0.22385785,0.017678875,0.015152689,-0.5022085,-0.7324648,-0.02497252,0.15541619,0.022338409,-0.016609946,-0.10203052
1738237951.5642147,0.24621874,0.08418696,0.028749425,-0.53512514,-0.6872516,-0.03361726,0.093468845,0.0052630156,-0.010458378,-0.13480712
1738237951.5742786,0.24586818,0.07113125,0.028649712,-0.54989374,-0.5741517,-0.047844563,0.070680216,-0.008823838,-0.006495977,-0.16870745
1738237951.5841355,0.24616304,0.109223165,0.038749274,-0.5502298,-0.43758762,-0.060650572,0.08826694,-0.007926304,-0.0060933884,-0.18951863
1738237951.594722,0.23623073,0.11072815,0.051216614,-0.53819644,-0.31530264,-0.072009794,0.055106282,-0.026083352,-0.0033208188,-0.22436148
1738237951.6046844,0.23549345,0.11853735,0.048783097,-0.5135337,-0.15750612,-0.07399517,0.07178979,-0.032642767,-0.007397188,-0.22354448
1738237951.615498,0.23826975,0.1415357,0.058070652,-0.4708707,0.06390407,-0.053511407,0.07177759,-0.016082734,-0.027500413,-0.13942826
1738237951.6259475,0.23749612,0.14788307,0.054008033,-0.41640675,0.2771287,-0.02098807,0.055396914,-0.008597931,-0.018007923,-0.0890985
